SG_PARTIDO,CD_TP_DOCUMENTO,DS_TP_DOCUMENTO,tipo_valor,valor
PDT,5,OUTROS,total_pago,10995453.73
PODE,#NULO#,#NULO#,total_pago,275838.71
PODE,0,BOLETO,total_pago,758386.98
PODE,1,CONTRATO,total_pago,1493095.1
PODE,2,DOCUMENTO FISCAL,total_pago,1517399.77
PODE,3,FATURA,total_pago,692868.86
PODE,4,RECIBO,total_pago,684819.33
PODE,5,OUTROS,total_pago,2018328.76
PPL,0,BOLETO,total_pago,129395.64
PPL,1,CONTRATO,total_pago,23573.72
PPL,2,DOCUMENTO FISCAL,total_pago,1939079.74
PPL,3,FATURA,total_pago,38791.4
PPL,4,RECIBO,total_pago,84980.36
PPL,5,OUTROS,total_pago,469619.13
PSDB,#NULO#,#NULO#,total_pago,44928589.29
PSDB,0,BOLETO,total_pago,1357955.29
PSDB,1,CONTRATO,total_pago,772894.97
PSDB,2,DOCUMENTO FISCAL,total_pago,41919979.63
PSDB,3,FATURA,total_pago,7087752.69
PSDB,4,RECIBO,total_pago,29750815.47
PSDB,5,OUTROS,total_pago,8999494.67
PSL,#NULO#,#NULO#,total_pago,882029.77
PSL,0,BOLETO,total_pago,17992.68
PSL,1,CONTRATO,total_pago,213591.07
PSL,2,DOCUMENTO FISCAL,total_pago,3737975.35
PSL,3,FATURA,total_pago,949527.93
PSL,4,RECIBO,total_pago,3056838.66
PSL,5,OUTROS,total_pago,954347.78
PSOL,#NULO#,#NULO#,total_pago,5850893.26
PSOL,0,BOLETO,total_pago,336064.42
PSOL,1,CONTRATO,total_pago,450782.55
PSOL,2,DOCUMENTO FISCAL,total_pago,5377670.53
PSOL,3,FATURA,total_pago,3161844.16
PSOL,4,RECIBO,total_pago,2770746.58
PSOL,5,OUTROS,total_pago,5503267.3
PSTU,#NULO#,#NULO#,total_pago,7400
PSTU,0,BOLETO,total_pago,335336.41
PSTU,1,CONTRATO,total_pago,74533.09
PSTU,2,DOCUMENTO FISCAL,total_pago,1679540.1199999999
PSTU,3,FATURA,total_pago,307372.84
PSTU,4,RECIBO,total_pago,1518208.26
PSTU,5,OUTROS,total_pago,213990.4
PT,#NULO#,#NULO#,total_pago,48916319.35
PT,0,BOLETO,total_pago,3814575.62
PT,1,CONTRATO,total_pago,2605994.79
PT,2,DOCUMENTO FISCAL,total_pago,51387841.04
PT,3,FATURA,total_pago,12963322.14
PT,4,RECIBO,total_pago,9397810.13
PT,5,OUTROS,total_pago,58315386.260000005
REDE,#NULO#,#NULO#,total_pago,1380573.34
REDE,0,BOLETO,total_pago,224193.16
REDE,1,CONTRATO,total_pago,124884.41
